cy_id,contract_target,adolescent_fert_1000,working_age_pop_ratio,fixed_phone_subs,dfi_inflows_usd,gdp_usd,gdp_growth_pct,imp_sanitation_access_pct,imp_water_access_pct,inflation_pct,internet_access_pct,merch_exports_usd,merch_imports_usd,mortality_rate_under5_opct,pop_over_65,pop_under_15,pop_female_pct,pop_total,pop_rural_pct
Afghanistan_2009,0,105.5516,100.060480017954,5130.0,197512727.48,9446591725.72443,21.0206487363678,28.7,46.2,-2.10708255443797,3.55,403441000.0,3336435000.0,107.6,2.2484377441326298,47.7666776894473,48.5848186796694,27207291.0,75.687
Afghanistan_2010,0,99.6324,99.4598389068067,16620.0,54200551.0,10243250246.5673,8.43329048161792,29.3,48.0,9.437794772596561,4.0,388484000.0,5154250000.0,105.0,2.27524958956208,47.58934443193271,48.617671702380285,27962207.0,75.311
Afghanistan_2011,0,93.7132,97.6679109149942,13509.0,57620844.0,10869490317.7585,6.11368516942299,29.9,49.8,10.5611392868639,5.0,375851000.0,6515000000.0,102.3,2.30968149825366,47.100417724677705,48.6067507609644,28809167.0,74.926
Afghanistan_2012,0,87.794,95.31270706572559,90017.0,61525860.0,12438473124.446001,14.434741287952399,30.5,51.6,8.304760856158401,5.4545454545454515,428903000.0,9069000000.0,99.5,2.35081115180802,46.449243129172004,48.5640383192232,29726803.0,74.532
Afghanistan_2013,0,82.2638,92.6027850428629,95769.0,39663686.0,12682158099.7345,1.95912289917285,31.1,53.4,4.71753117867833,5.9,514973000.0,8724000000.0,96.7,2.39441375376844,45.6852570683615,48.5070903609549,30682500.0,74.12899999999999
Afghanistan_2014,0,76.7336,89.7737769801677,101931.0,48756005.3,12848615344.5738,1.3125309078333602,31.8,55.2,0.243080562490022,6.39,535000000.0,7800000000.0,93.9,2.43468454325801,44.8709961512615,48.4580889811546,31627506.0,73.718
Albania_2004,0,18.980999999999998,55.001549022067785,274557.0,341285112.537562,7717069088.368521,5.70955658121403,86.6,96.1,2.35708418542453,2.42038779776014,605400000.0,2309000000.0,21.5,8.25244751684892,27.2320522411863,49.67916313063071,3026939.0,54.349
Albania_2005,0,18.854,53.5468637350468,278973.0,262479012.637464,8158548716.529409,5.72081995256856,87.4,96.0,2.62101763278663,6.04389086404814,658000000.0,2618000000.0,20.5,8.58219463417356,26.2911025082312,49.74569881239589,3011487.0,53.269
Albania_2006,0,18.727,52.152008273278504,256000.0,325138316.80369705,8601640536.232029,5.431012733979268,88.1,96.0,2.69604925742246,9.609991315771179,798000000.0,3058000000.0,19.5,9.021906481081151,25.2543562367307,49.739981204566405,2992547.0,52.185
Albania_2007,0,18.6,50.862987222435294,300000.0,652275603.722803,9109137327.86972,5.90000000000003,88.9,95.9,3.57619480269398,15.0361154084109,1077580000.0,4187510000.0,18.7,9.48151169321345,24.2331647983675,49.684424559318714,2970017.0,51.098
Albania_2008,0,19.0396,49.663787456392896,343591.0,1240972848.53596,9795055368.65831,7.5299999999999905,89.6,95.8,3.85766181414662,23.86,1354830000.0,5250600000.0,17.9,9.96049225983868,23.223078234489893,49.6102123094609,2947314.0,50.00899999999999
Albania_2009,0,19.4792,48.6370670641803,363000.0,1343091149.96018,10123189723.5084,3.3500000000000503,90.2,95.7,2.42263423151144,41.2,1090600000.0,4550030000.0,17.3,10.453922097992901,22.2681018988452,49.5674234424138,2927519.0,48.924
Albania_2010,0,19.9188,47.8850758990693,333066.0,1089416366.35459,10498760062.2505,3.70999999999992,90.9,95.6,4.48998143322825,45.0,1544613000.0,4405940000.0,16.6,10.954817957857001,21.4251229288017,49.5927644222734,2913021.0,47.836999999999996
Albania_2011,0,20.3584,46.72028802793,338844.0,1049425306.16838,10766478443.8379,2.55000000000003,91.5,95.5,2.31020106864396,49.0,1951044000.0,5395651000.0,16.0,11.234091357964802,20.609006898798,49.7001049892412,2904780.0,46.753
Albania_2012,0,20.798000000000002,45.835734189294996,312000.0,920080650.1432072,10919362437.7404,1.41999999999996,92.1,95.4,1.03996061312961,54.6559590399494,1967989000.0,4882276000.0,15.5,11.5016070930795,19.9280930423405,49.8712971683294,2900489.0,45.67
Albania_2013,0,21.1438,45.2474685165625,281200.0,1253783309.3415198,11040567360.7993,1.1100000000001002,92.7,95.2,0.218876851820383,57.2,2331512000.0,4901658187.417729,14.9,11.769681831219401,19.3822939907695,50.073405956616796,2897366.0,44.617
Albania_2014,0,21.4896,44.9121357765095,247070.0,1149384240.80512,11280147672.5287,2.1699999999998902,93.2,95.1,0.9912639327592392,60.1,2429537453.76278,5227332666.8234215,14.4,12.062251961811599,18.9304268021744,50.25975230441061,2894475.0,43.591
Algeria_2004,0,9.6828,53.3814209013084,2486720.0,881900000.0,97448752753.8163,4.30000000314628,85.0,88.1,12.247624323301599,4.63447508776537,31304000000.0,18168600000.0,35.1,4.86801062551754,29.9350447821228,49.4382081361236,32817225.0,36.939
Algeria_2005,0,9.6842,51.665944456285,2572000.0,1155999999.99995,103198229168.23,5.900000001989652,85.3,87.7,16.1253622233982,5.84394209201256,46002400000.0,20357000000.0,33.6,4.9925803823970005,29.073039715446896,49.4746119583729,33267887.0,36.17
